127.0.0.1 - - [01/Sep/2020:14:30:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:30:51 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:30:51 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:30:51 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:30:51 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:30:51 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:30:51 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:30:51 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 200 19191
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:31:03 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:31:03 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:31:03 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:31:03 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:31:03 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:31:03 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:31:10 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:31:12 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [01/Sep/2020:14:31:12 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 9886
