0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:17:29 +0900] "GET /Lecture_Evaluation/index.jsp?search= HTTP/1.1" 200 11213
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:17:32 +0900] "GET /Lecture_Evaluation/index.jsp?search=%EA%B5%A5%EC%95%BC HTTP/1.1" 200 9158
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:17:39 +0900] "GET /Lecture_Evaluation/index.jsp?search=%EA%B5%90%EC%96%91 HTTP/1.1" 200 10201
0:0:0:0:0:0:0:1 - - [02/Sep/2020:16:17:47 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EA%B3%B5&searchType=%EC%B5%9C%EC%8B%A0%EC%88%9C&search= HTTP/1.1" 200 10180
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:45:19 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EA%B3%B5&searchType=%EC%B5%9C%EC%8B%A0%EC%88%9C&search= HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:45:20 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:45:20 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:45:20 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:45:20 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:45:20 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:45:22 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:45:22 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11213
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:45:27 +0900] "GET /Lecture_Evaluation/likeAction.jsp?evaluationID= HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:50:15 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11217
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:50:17 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11217
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:50:18 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11217
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:50:18 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11217
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:50:21 +0900] "GET /Lecture_Evaluation/likeAction.jsp?evaluationID=2 HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:50:23 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11217
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:50:28 +0900] "GET /Lecture_Evaluation/likeAction.jsp?evaluationID=1 HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:50:29 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11217
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:50:36 +0900] "GET /Lecture_Evaluation/deleteAction.jsp?evaluationID=2 HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [02/Sep/2020:18:50:37 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 10172
0:0:0:0:0:0:0:1 - - [02/Sep/2020:19:04:00 +0900] "POST /Lecture_Evaluation/evaluationRegisterAction.jsp HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [02/Sep/2020:19:04:00 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 11290
0:0:0:0:0:0:0:1 - - [02/Sep/2020:19:04:23 +0900] "GET /Lecture_Evaluation/deleteAction.jsp?evaluationID=3 HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [02/Sep/2020:19:04:30 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 10172
